atm_id;bank;lat;lon
1;Sber;55.7596986;37.7015317
2;Alfa-Bank;55.8042806;37.5238074
3;Alfa-Bank;55.7430995;37.5041916
4;Alfa-Bank;55.7497132;37.7043753
5;Alfa-Bank;55.7045221;37.7659491
6;Sber;55.7280762;37.4177382
7;Sber;55.702844;37.5303783
8;Sber;55.7023302;37.5320922
9;Sber;55.6917042;37.6030007
10;Sber;55.6916322;37.6030234
11;Sber;55.6473844;37.721889
12;Sber;55.6867998;37.6040125
13;Alfa-Bank;55.7743922;37.6485093
14;Sber;55.8159804;37.3940329
15;Sber;55.6410012;37.3562465
16;Sber;55.6244986;37.7094879
17;Sber;55.8482274;37.4542992
18;Sber;55.6173898;37.7153325
19;Alfa-Bank;55.8225852;37.8236327
20;Sber;55.8975178;37.588045
21;Sber;55.6816913;37.6611247
22;Sber;55.7469853;37.6057339
23;Sber;55.7888297;37.3877559
24;Sber;55.6996353;37.532588
25;Sber;55.7031103;37.5305917
26;Sber;55.629026;37.30929
27;Sber;55.7408844;37.5527643
28;Sber;55.7411353;37.4156607
29;Sber;55.8083653;37.636297
30;Sber;55.5469061;37.5325068
31;Sber;55.6111861;37.5990476
32;Sber;55.7410659;37.7853932
33;Sber;55.8647654;37.6845896
34;Sber;56.0091017;37.1963361
35;Sber;55.7846438;37.5711183
36;Alfa-Bank;55.7252433;37.4499034
37;Sber;55.884149;37.6867793
38;Sber;55.5804861;37.6516816
39;Alfa-Bank;55.7940742;37.4930421
40;Alfa-Bank;55.7819062;37.4813631
41;Sber;56.0068805;37.2038021
42;Alfa-Bank;55.7661991;37.6078247
43;Alfa-Bank;55.8060466;37.3951525
44;Alfa-Bank;55.6835631;37.4914662
45;Sber;55.6110631;37.605845
46;Sber;55.7706506;37.4211176
47;Alfa-Bank;55.664149;37.4819743
48;Sber;55.6443625;37.5075447
49;Sber;55.8843019;37.6015624
50;Alfa-Bank;55.742105;37.50147
51;Sber;55.7041413;37.5212397
52;Sber;55.7375148;37.65551
53;Sber;55.643755;37.4996799
54;Alfa-Bank;55.898798;37.584848
55;Sber;55.8746222;37.5876031
56;Alfa-Bank;55.8746958;37.5875524
57;Sber;55.6225506;37.6065325
58;Sber;55.8612537;37.6945942
59;Sber;55.672147;37.5507639
60;Alfa-Bank;55.671458;37.5536283
61;Sber;55.8133847;37.7230343
62;Sber;55.6451172;37.3981981
63;Sber;55.8805277;37.4896138
64;Sber;55.8941074;37.628501
65;Sber;55.7638185;37.4874339
66;Sber;55.5980238;37.3545369
67;Sber;55.8482898;37.6198385
68;Sber;55.8934344;37.6005549
69;Sber;55.6563326;37.7611606
70;Alfa-Bank;55.6225365;37.604641
71;Sber;55.5469177;37.5522833
72;Sber;55.6556552;37.5719745
73;Sber;55.7677975;37.6003915
74;Sber;55.7313752;37.6362322
75;Sber;55.7407136;37.6255881
76;Sber;55.75248;37.8194244
77;Sber;55.8389551;37.4850571
78;Sber;55.7756538;37.4956083
79;Sber;55.9841236;37.2199666
80;Sber;55.9840058;37.2131819
81;Sber;55.7804878;37.6378186
82;Sber;55.8613167;37.4368841
83;Sber;55.7106591;37.8541074
84;Sber;55.5651099;37.5560174
85;Sber;55.5656031;37.5562674
86;Sber;55.6802038;37.6633492
87;Sber;55.8033468;37.6183856
88;Sber;55.592437;37.6329025
89;Sber;55.8393751;37.4377458
90;Sber;55.6727523;37.5798736
91;Sber;55.7231486;37.6546743
92;Sber;55.7089402;37.6560004
93;Sber;55.782848;37.72645
94;Sber;55.636711;37.6731338
95;Sber;55.7948061;37.593018
96;Sber;55.8064388;37.5873842
97;Sber;55.782189;37.7035823
98;Alfa-Bank;55.8041818;37.5833861
99;Sber;55.7342255;37.8530503
100;Sber;55.6607984;37.5731295
101;Sber;55.9909617;37.218044
102;Alfa-Bank;55.782605;37.723823
103;Sber;55.6379287;37.6560956
104;Sber;55.6754746;37.6107241
105;Sber;55.7717629;37.6853115
106;Sber;55.6176711;37.5925976
107;Alfa-Bank;55.7409654;37.657375
108;Sber;55.7166691;37.3876552
109;Sber;55.7172015;37.4118842
110;Alfa-Bank;55.8804737;37.694858
