h3_index,total_records,unique_customers,total_count,total_sum,avg_transaction,min_transaction,max_transaction,avg_std,total_distinct_transactions,unique_mcc,unique_time_buckets,sum_per_customer,transactions_per_customer,records_per_customer,atm_active_customers,atm_activity_records,atm_activity,vtb_atm_count,vtb_office_count,metro_count,competitor_atm_count,mall_count,university_count
89118180927ffff,14,10,22,18379.83,833.2846666664285,84.98,2852.29,590.1637532851289,18,2,3,1837.9830000000002,2.2,1.4,0,0,0,0,0,0,0,0,0
89118180d27ffff,1,1,1,790.0,790.0,790.0,790.0,,1,1,1,790.0,1.0,1.0,0,0,0,0,0,0,0,0,0
891181820abffff,311,248,499,834526.82,1731.767958926656,1.0,5552.8,479.0226977161572,385,2,4,3365.0274999999997,2.0120967741935485,1.2540322580645162,0,0,0,0,0,0,0,0,0
891181840a7ffff,3,3,3,12377.5,4125.833333333333,3277.5,4600.0,,3,1,2,4125.833333333333,1.0,1.0,0,0,0,0,0,0,0,0,0
891181844c3ffff,1,1,1,246.0,246.0,246.0,246.0,,1,1,1,246.0,1.0,1.0,0,0,0,0,0,0,0,0,0
89118184c93ffff,102,96,130,158471.47,1244.2158251634314,15.0,4468.28,862.0075950974705,121,1,4,1650.7444791666667,1.3541666666666667,1.0625,0,0,0,0,0,0,0,0,0
891181854b7ffff,8,8,8,64430.0,8053.75,1350.0,36740.0,,8,1,2,8053.75,1.0,1.0,0,0,0,0,0,0,0,0,0
89118186067ffff,1,1,1,7065.0,7065.0,7065.0,7065.0,,1,1,1,7065.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911818610bffff,1724,1314,2515,4783974.49,2248.5831816962705,5.0,49500.0,937.9480414959223,1868,17,4,3640.7720624048707,1.9140030441400304,1.3120243531202436,215,215,1,0,0,0,0,0,0
89118186173ffff,4,3,7,4589.0,642.25,9.0,1300.0,470.40271824556464,4,2,3,1529.6666666666667,2.3333333333333335,1.3333333333333333,0,0,0,0,0,0,0,0,0
8911818620bffff,15,7,30,18979.72,590.500507936,100.0,2850.0,406.89188129588666,15,2,3,2711.3885714285716,4.285714285714286,2.142857142857143,0,0,0,0,0,0,0,0,0
89118186227ffff,86,35,188,117271.51,655.2789617939535,5.0,3202.0,394.6193532031801,123,3,4,3350.6145714285713,5.371428571428571,2.4571428571428573,0,0,0,0,0,0,0,0,0
89118186233ffff,1,1,1,70.0,70.0,70.0,70.0,,1,1,1,70.0,1.0,1.0,0,0,0,0,0,0,0,0,0
89118186343ffff,2,2,2,2000.0,1000.0,500.0,1500.0,,2,1,2,1000.0,1.0,1.0,0,0,0,0,0,0,0,0,0
89118186347ffff,9,9,11,70675.0,5944.5,1990.0,13180.0,2542.4024317562316,9,1,2,7852.777777777777,1.2222222222222223,1.0,0,0,0,0,0,0,0,0,0
8911818635bffff,139,53,468,222914.54,580.584566474964,5.0,10105.74,435.3859886922294,234,3,4,4205.934716981133,8.830188679245284,2.6226415094339623,0,0,0,0,0,0,0,0,0
89118186493ffff,12,10,14,9706.55,662.7787500000001,169.55,1148.5,283.56749692533526,12,1,3,970.655,1.4,1.2,0,0,0,0,0,0,0,0,0
8911818654fffff,3,2,4,5750.0,1183.3333333333333,600.0,3800.0,2262.741699796952,3,1,3,2875.0,2.0,1.5,0,0,0,0,0,0,0,0,0
89118186813ffff,1,1,1,43240.0,43240.0,43240.0,43240.0,,1,1,1,43240.0,1.0,1.0,0,0,0,0,0,0,0,0,0
89118186817ffff,93,73,136,206579.62,1537.9706451611828,49.0,4699.15,413.93370228735415,109,1,4,2829.857808219178,1.8630136986301369,1.273972602739726,0,0,0,0,0,0,0,0,0
89118186857ffff,1,1,1,1240.0,1240.0,1240.0,1240.0,,1,1,1,1240.0,1.0,1.0,0,0,0,0,0,0,0,0,0
89118186883ffff,73,57,115,174889.92,1412.6561218345205,66.0,10000.0,668.7478722332763,92,4,4,3068.2442105263162,2.017543859649123,1.280701754385965,0,0,0,0,0,0,0,0,0
89118186887ffff,12,8,17,8623.0,499.2916666666667,40.0,1284.0,219.94493195646362,12,1,3,1077.875,2.125,1.5,0,0,0,0,0,0,0,0,0
89118186897ffff,1,1,1,288.0,288.0,288.0,288.0,,1,1,1,288.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911818689bffff,14,10,15,6342.99,369.90999999999997,25.0,1487.0,456.4374272559164,15,2,2,634.299,1.5,1.4,0,0,0,0,0,0,0,0,0
8911818690bffff,4,3,8,21893.0,1883.9375,100.0,13727.0,3270.8416000684256,4,2,3,7297.666666666667,2.6666666666666665,1.3333333333333333,0,0,0,0,0,0,0,1,0
8911818690fffff,1,1,1,7300.0,7300.0,7300.0,7300.0,,1,1,1,7300.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911818692bffff,20,20,45,16405.0,475.54702380950005,10.0,1185.0,184.65261786281602,20,1,3,820.25,2.25,1.0,0,0,0,0,0,0,0,0,0
8911818692fffff,52,32,82,125930.01,1490.4714519230768,18.4,13819.02,595.6056829997016,67,2,3,3935.3128125,2.5625,1.625,0,0,0,0,0,0,0,0,0
89118186977ffff,56,50,74,87074.8,1263.828392857143,85.0,3338.51,467.5823449665064,58,2,3,1741.496,1.48,1.12,0,0,0,0,0,0,0,0,0
89118186ad3ffff,3,3,4,1632.0,441.3333333333333,295.0,601.0,18.384776310850235,3,1,2,544.0,1.3333333333333333,1.0,0,0,0,0,0,0,0,0,0
89118186ad7ffff,7,3,15,5688.5599999999995,445.6114285714285,8.0,845.0,204.5091204191577,7,1,3,1896.1866666666665,5.0,2.3333333333333335,0,0,0,0,0,0,0,0,0
89118186b13ffff,12,12,14,14739.0,978.25,290.0,2160.0,500.0,12,1,3,1228.25,1.1666666666666667,1.0,0,0,0,0,0,0,0,0,0
89118186c13ffff,5,4,6,48289.0,8095.8,200.0,30240.0,10337.901140947324,5,2,2,12072.25,1.5,1.25,0,0,0,0,0,0,0,0,0
89118186c23ffff,44,33,81,52831.05,580.3671174243182,9.99,4713.51,482.3814517257221,65,2,3,1600.9409090909091,2.4545454545454546,1.3333333333333333,0,0,0,0,0,0,0,0,0
89118186c37ffff,2,1,2,900.0,450.0,200.0,700.0,,2,1,2,900.0,2.0,2.0,0,0,0,0,0,0,0,0,0
89118186cc7ffff,12,9,14,31414.0,2399.5,230.0,7560.0,113.13708498984761,14,1,3,3490.4444444444443,1.5555555555555556,1.3333333333333333,0,0,0,0,0,0,0,0,0
89118186cd7ffff,81,54,185,283652.6,1768.416963871358,29.78,13085.0,859.9893898287422,97,3,4,5252.825925925926,3.425925925925926,1.5,0,0,0,0,0,0,0,0,0
89118186d07ffff,9,5,18,24253.46,2072.225185185556,110.0,13990.0,264.6068330018053,11,3,4,4850.692,3.6,1.8,0,0,0,0,0,0,0,0,0
89118186dafffff,8,5,15,24910.0,1480.84375,572.0,3361.0,457.31877384290584,8,1,2,4982.0,3.0,1.6,0,0,0,0,0,0,0,0,0
89118186e9bffff,31,26,47,44185.0,972.0537634409677,35.0,3319.0,190.48078834203938,35,1,3,1699.423076923077,1.8076923076923077,1.1923076923076923,0,0,0,0,0,0,0,0,0
89118190177ffff,7,6,11,8611.0,890.6666666671429,80.0,1970.0,400.3346726475447,7,3,3,1435.1666666666667,1.8333333333333333,1.1666666666666667,0,0,0,0,0,0,0,0,0
89118190303ffff,1,1,3,47200.0,15733.33333333,1200.0,29000.0,13943.218184240442,1,1,1,47200.0,3.0,1.0,0,0,0,0,0,0,0,0,0
8911819050fffff,8,7,12,14241.0,968.5,295.0,2728.0,220.84888705160253,8,2,3,2034.4285714285713,1.7142857142857142,1.1428571428571428,0,0,0,0,0,0,0,0,0
891181909afffff,31,25,41,45879.25,1199.3548387096773,20.0,10250.5,623.9101794757689,31,2,3,1835.17,1.64,1.24,0,0,0,0,0,0,0,0,0
89118190a9bffff,98,48,234,155824.05,706.8974378479592,14.0,6940.0,404.2322481685352,109,3,4,3246.334375,4.875,2.0416666666666665,0,0,0,0,0,0,0,0,0
89118190c17ffff,4,2,8,3439.0,301.55,97.0,939.0,249.22820867630534,4,1,3,1719.5,4.0,2.0,0,0,0,0,0,0,0,0,0
89118190e17ffff,1,1,1,178.0,178.0,178.0,178.0,,1,1,1,178.0,1.0,1.0,0,0,0,0,0,0,0,0,0
89118190e2fffff,16,13,18,20047.2,1194.2,67.0,8984.0,264.5751311064591,16,3,3,1542.0923076923077,1.3846153846153846,1.2307692307692308,0,0,0,0,0,0,0,0,0
89118190e37ffff,73,36,204,100346.0,528.9697059346576,15.0,5780.0,282.33759893454726,73,1,3,2787.3888888888887,5.666666666666667,2.0277777777777777,0,0,0,0,0,0,0,0,0
89118190e6fffff,79,49,437,344505.49,886.3383357855696,1.0,5718.3,495.59439909012195,130,2,3,7030.7242857142855,8.918367346938776,1.6122448979591837,0,0,0,0,0,0,0,0,0
89118190e77ffff,33,22,61,43148.4,696.8281818181819,30.0,3690.0,461.44044137393274,45,1,3,1961.290909090909,2.772727272727273,1.5,0,0,0,0,0,0,0,0,0
891181918d7ffff,6,6,11,34917.0,1967.0,245.0,20350.0,4216.267221644232,6,1,2,5819.5,1.8333333333333333,1.0,0,0,0,0,0,0,0,0,0
89118192e53ffff,4,3,6,1827.0,393.9166666675,73.0,977.0,59.36609582357032,4,1,2,609.0,2.0,1.3333333333333333,0,0,0,0,0,0,0,0,0
89118194003ffff,3,3,3,642.0,214.0,132.0,280.0,,3,1,2,214.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911819402bffff,3,3,3,9550.0,3183.3333333333335,1100.0,5750.0,,3,1,3,3183.3333333333335,1.0,1.0,0,0,0,0,0,0,0,0,0
89118194037ffff,199,181,276,160730.0,581.2240368509046,100.0,5750.0,360.1605699721695,205,1,3,888.0110497237569,1.5248618784530388,1.0994475138121547,0,0,0,0,0,0,0,0,0
8911819403bffff,1,1,1,150.0,150.0,150.0,150.0,,1,1,1,150.0,1.0,1.0,0,0,0,0,0,0,0,0,0
