mall;lat;lon
1-й ТЦ;56.0057843;37.2061264
10-й торговый центр;55.984055;37.1760769
1000 вещей;55.6798441;37.6665268
1000 мелочей;55.9932729;37.2132454
2-й торговый центр;56.0029309;37.2057155
3-й торговый центр;55.9967692;37.2164282
4-й торговый центр;56.0004108;37.2060051
5-й ТЦ;55.9975709;37.2365139
Avenue Sever;55.8667037;37.5444829
Avenue Southwest;55.6629988;37.4810314
Botanica;55.8442676;37.6372502
Columbus;55.6119277;37.6070146
FORT Отрадное;55.8631897;37.6020531
Family Room;55.6299083;37.4241264
For you;55.6845844;37.6211998
Fort Ясенево;55.6067319;37.536295
Kvartal West;55.7070865;37.4570745
Larin;55.7228259;37.6749826
Lotte Plaza;55.7509076;37.5844976
Metromall;55.8568459;37.5586426
Mobel expo;55.6724285;37.582751
Nikolskaya Plaza;55.7579755;37.6243683
Prime Plaza;55.6563502;37.5694843
Roomer;55.7103424;37.6550585
W;55.5826352;37.6715246
А58;55.6502361;37.4690764
Авиапарк;55.7899823;37.5311187
Автокластер 19/21;55.6991096;37.8060558
Алмазный мир;55.8497282;37.4972327
Алтуфьево;55.901993;37.5856556
Алфавит;55.5740999;37.5652396
Андрееевский;55.7017204;37.6040059
Ареал;55.6437028;37.52627
Арена Плаза;55.791307;37.5598289
Аркада;55.6371605;37.6560159
Атриум;55.7572323;37.6590923
Афи Галерея;55.7753376;37.5818268
Аэробус;55.6402812;37.6219248
Багратионовский;55.7434146;37.4993309
Белград;55.6046219;37.7123014
Белка;55.6442781;37.5266426
"Бизнес-центр ""Зенит-Плаза""";55.7901444;37.3804167
Бизнес-центр «Ла-5»;55.6109553;37.2873091
Бирюлевский;55.586623;37.6666789
Бирюсинка;55.5796325;37.6489262
Братиславский рынок;55.6579307;37.7516121
Будапешт;55.7040887;37.7657381
Бульвар;55.7578009;37.4090099
Бум;55.6596555;37.7496834
ВДНХ;55.8243174;37.634419
Вавилон-92;55.8695806;37.6371732
Вальсар;55.7377125;37.8546798
Вантаж;55.5938601;37.6560472
Варшавка 33;55.5783564;37.5899033
Ватутинки;55.5064194;37.3425149
Вектор;55.8090967;37.7984031
Вешняки;55.7241162;37.825113
Виноград;55.6339348;37.484252
Внуково;55.6109906;37.2957728
Волжский;55.7000216;37.7523839
Волна;55.8211767;37.8264498
Галерея ZAR;55.7509152;37.4125415
Галерея Атлантис;55.5830182;37.5952755
Галерея Аэропорт;55.8017623;37.5318965
Галерея Водолей;55.6127562;37.7199429
Галерея Щербинка;55.5042424;37.5591418
Гастрономический центр «Станция»;55.982075;37.174583
Глобал Молл;55.7121283;37.6567714
Горбушкин двор;55.74218;37.5033407
Город;55.7130293;37.8449205
Город Лефортово;55.7474925;37.7070013
Город Хобби;55.8037549;37.7529608
Государственный универсальный магазин (ГУМ);55.7547028;37.6214889
Гравитация;55.6245086;37.59399
Грай;55.6732234;37.6123601
Гранд Юг;55.6095975;37.6052445
Грин;55.9778996;37.1537805
Гудзон;55.6645594;37.6266356
Давыдково;55.7355991;37.4679029
Депо Молл;55.8192724;37.5775524
Детский центр;55.7957227;37.5934154
"Дисконт-центр ""Орджоникидзе 11""";55.7094022;37.5954977
Дом Мебели;55.879239;37.6346159
Дом быта;55.995724;37.2117502
Дропин;55.6362845;37.5210905
Дружный;55.7056858;37.7678819
ЕвроПарк;55.7668616;37.3815892
Европа;55.727863;37.6137925
Европолис;55.845084;37.6630009
Ереван Плаза;55.7087066;37.6221152
Заря;55.7816908;37.7051267
Звёздный;55.676925;37.504814
Звёздочка;55.741789;37.6558129
Зелёный Проспект;55.752043;37.816235
Изумрудный город;55.4724014;37.3038313
Изюминка;55.8976816;37.5970734
Интер-Север;55.8540722;37.4758535
Итал квартал;55.592027;37.3645643
Калач;55.5960374;37.5919577
Калита;55.6076726;37.532297
Камп;55.8704267;37.663269
Капитолий;55.687518;37.6039327
Каренфор;55.6134598;37.6062401
Киргизия;55.7517848;37.8201999
Клубника;55.7417195;37.6884929
Ковчег;55.7363822;37.4674495
Кожевники;55.7303104;37.6461196
Коммунарка;55.5678844;37.4777137
Компьютерный центр;55.7941103;37.5927691
Кондор;55.8696213;37.666715
Конкорд;55.723451;37.6096719
Краснопрудный;55.7810168;37.6678458
Крылья;55.8096592;37.4600452
Кузьминки Молл;55.7018857;37.7646437
Кунцево Плаза;55.7385689;37.4105793
Кусково;55.7399063;37.7837183
Лес;55.8225314;37.8232471
Лосинка;55.8631668;37.6824295
Любимый;55.701239;37.5037339
Люблино;55.6738534;37.7604779
Люблю Молл;55.6587423;37.7419572
Макссити;55.7648342;37.7885244
Манго;55.857164;37.4320659
МариЭль;55.6490795;37.7450003
Марс;55.8788321;37.5823226
Марьинский пассаж;55.6522849;37.7422122
Мебель Парк;55.6339045;37.4427839
Мебель Сити;55.9056657;37.5446979
"Мебельный Центр ""Кристалл""";55.7337935;37.6668165
Мебельный комплекс Армада;55.6144091;37.6069562
"Мебельный центр ""Империя""";55.9054677;37.5392339
Мега Тёплый Cтан;55.6045125;37.4925239
Мегаком;55.7233657;37.8251081
Мегасфера;55.822287;37.6231475
Медведковский;55.8881202;37.6625546
Меркурий;55.7518613;37.8129632
Место встречи Ангара;55.6514133;37.6124051
Место встречи Байконур;55.8648865;37.6050042
Место встречи Высота;55.6998424;37.7654433
Место встречи Орбита;55.6763052;37.6653565
Место встречи Патриот;55.774695;37.4675572
Место встречи Планета;55.7078621;37.473333
Метромаркет;55.8058306;37.5151493
Мини Молл;55.7391573;37.484492
Мираж;55.7055852;37.7686836
Митино Парк;55.8409016;37.354816
Мобильный центр;55.7957873;37.5924234
Модный центр;55.79438;37.5919478
Мозаика;55.7107075;37.6751666
Молодежный;55.7185907;37.4202939
Москва;55.6978933;37.5604112
Москва-Сокол;55.8080947;37.51066
Москва-Тянья;55.6175468;37.715778
Московская ярмарка увлечений;55.815696;37.691235
Музыкальный парк;55.6480626;37.7354701
На Покрышкина;55.6652213;37.4714358
На Суздальской;55.7380654;37.8466584
Нева;55.8626638;37.4711734
Неглинная Галерея;55.7663;37.6222382
Нижегородский пассаж;55.7385078;37.6744693
Никулино;55.6643855;37.4693001
Новочеркизовский;55.8005957;37.7478287
ОМА;55.6950851;37.4635131
Обувь-Сити;55.677847;37.5071666
Океания;55.7279373;37.4760129
Октябрь;55.6887565;37.5737188
Олимп;55.7512509;37.8162329
Отрадное;55.8654068;37.604458
Павелецкая Плаза;55.7309203;37.6390299
Пальтовый круг;55.6523501;37.822821
Парк 11;55.8078217;37.5733431
Парк Хаус;55.851002;37.5974616
Парк Хаус Братеево;55.6252532;37.7609458
Парковый;55.8053983;37.7808373
Парус;55.8380519;37.5768556
Персей для детей;55.5926459;37.6130982
Петровский;55.6280321;37.740965
Подсолнух;55.5351293;37.4473787
Потапово;55.5331438;37.4979041
Прага;55.7926534;37.5779801
Пражский Град;55.612068;37.6031268
Премьер;55.6629368;37.4859292
Пролетарский;55.6304877;37.6588447
РИО;55.6897413;37.602058
РЦ «Орион»;55.8691132;37.6772109
Радиорынок Старк;55.6262828;37.6663284
Радуга;55.5915013;37.3661964
Радужный;55.8692736;37.6630689
Раменки Пять;55.692979;37.4948294
Рассвет;55.8240545;37.518046
Речной;55.8548154;37.4776418
Ривьера;55.7050148;37.6404564
Рио;55.6637836;37.5113105
Ритейл Парк;55.6334065;37.6243954
Родник;55.8404826;37.3809216
Родной;55.6679278;37.5900279
СБС-Стиль;55.5951849;37.6072306
Садовая галерея;55.7723437;37.63145
Саяны;55.768349;37.8327269
"Свадебная галерея ""Салют""";55.6530886;37.8224087
Свежий рынок Московский;55.5979416;37.3465861
Свиблово;55.856199;37.6533053
Северное Сияние;55.5748928;37.5803034
Северный;55.8695723;37.5077737
Селектика;55.5983365;37.6017899
Семёновский;55.7829419;37.7207719
Скарабей;55.7044877;37.8345133
Смоленский пассаж;55.7475328;37.5812912
Смолл Бирюлёвский;55.5946716;37.6624532
Совёнок-1;55.7967721;37.5939098
Совёнок-2;55.7957485;37.5936274
Солнце Москвы;55.8260643;37.6284197
София;55.8037729;37.8005656
СпортEX;55.7377329;37.7166091
Спортивный;55.7969895;37.5940166
