district;lat;lon;population
Академический;55.6895366;37.57688099999999;114228
Алексеевский;55.8113202;37.652847;15196.79
Алтуфьевский;55.87841780000001;37.5874729;17664.0
Арбат;55.7509313;37.5921517;16838.39
Аэропорт;55.8005455;37.5427527;17313.1
Бабушкинский;55.86713979999999;37.662606700000005;17415.38
Басманный;55.7663979;37.6706985;13159.62
Беговой;55.783423;37.56475329999999;7692.27
Бекасово;55.413844;36.95810389999999;33900
Бескудниковский;55.86377840000001;37.551715;23930.61
Бибирево;55.89636600000001;37.6153718;24814.42
Бирюлёво Восточное;55.5968121;37.6826125;10439.47
Бирюлёво Западное;55.5910661;37.6387021;10387.9
Богородское;55.82004109999998;37.7080705;10557.71
Братеево;55.63269699999999;37.7603408;14392.53
Бутырский;55.8136335;37.5935774;14089.88
Вешняки;55.72942449999999;37.8051014;11392.07
Внуково;55.607205400000005;37.2307146;1458.44
Войковский;55.8280428;37.49664659999999;10619.06
Вороново;55.2723658;37.18252859999999;26700
Восточное Дегунино;55.87609809999999;37.5588631;26223.87
Восточное Измайлово;55.7956702;37.82072899999999;20246.23
Восточный;55.9069554;37.8446854;4341.08
Выхино-Жулебино;55.698332;37.8259909;15016.43
Гагаринский;55.6975086;37.5594031;14651.27
Головинский;55.852428800000006;37.50982309999999;11550.73
Гольяново;55.828899;37.7947403;10854.9
Даниловский;55.7068682;37.6369726;7414.13
Дмитровский;55.8901972;37.5241163;12786.97
Донской;55.7052563;37.6055039;9045.2
Дорогомилово;55.7382256;37.5318932;9416.98
Замоскворечье;55.734753;37.6346438;13573.38
Западное Дегунино;55.87058689999999;37.5203023;11057.37
Зюзино;55.65380269999999;37.5887848;23224.4
Зябликово;55.6212469;37.75122580000001;30387.21
Ивановское;55.7681881;37.8252163;12518.65
Измайлово;55.78123879999999;37.77425999999999;7004.0
Капотня;55.6407289;37.8124186;4015.38
Коммунарка;55.5676547;37.4615367;165000
Коньково;55.64047059999999;37.5312556;21756.41
Коптево;55.8301266;37.532688;18939.41
Косино-Ухтомский;55.7139289;37.89083709999999;5421.13
Котловка;55.6778173;37.59645359999999;16703.3
