university;lat;lon
11 корпус РЭУ им. Г. В. Плеханова;55.712630399999995;37.4768142
12 корпус РЭУ им. Г. В. Плеханова;55.7120942;37.47784860000001
Moscow Business School;55.70456149999999;37.569964999999996
«Высшая школа экономики» АУЗ № 11;55.81574580000001;37.5249115
АНО ДПО Московская Высшая Школа Экономики;55.7367262;37.6594929
АУЗ №4 НИУ ВШЭ;55.76181350000001;37.60615
АУЗ №7 НИУ ВШЭ «Ордынка»;55.737428300000005;37.6263024
"АУК ""Трифоновский"" НИУ ВШЭ";55.79032170000001;37.6310602
АУК «Мясницкий» НИУ ВШЭ;55.7615442;37.632515899999994
Академия Федеральной службы безопасности Российской Федерации;55.6838251;37.47064679999999
Академия государственной противопожарной службы МЧС России;55.824983499999995;37.6499797
Академия криптографии РФ;55.739983;37.4163267
Академия медиаиндустрии;55.79978950000001;37.61047
Академия медико-технических наук;55.82669260000001;37.6537836
Академия повышения квалификации и профессиональной переподготовки работников образования;55.83841199999999;37.4930841
Академия пограничных войск Российской Федерации;55.7782401;37.57842639999999
Академия постдипломного образования ФМБА России;55.828985800000005;37.4087165
Академия социального управления;55.67274299999999;37.7203481
Академия труда и социальных отношений;55.6846822;37.748123099999994
Академия управления МВД России;55.81933949999999;37.5071426
Академия хорового искусства имени В.С. Попова;55.85679649999999;37.48362099999999
Академия экономической безопасности МВД РФ;55.857821799999996;37.6537397
Библейско-богословский институт святого апостола Андрея;55.7328116;37.677643399999994
Бизнес-школа CESTE Международной академии оценки и консалтинга;55.721783;37.6284355
Британская высшая школа дизайна;55.7516637;37.6698661
ВШЭ, школа дизайна;55.7873213;37.6417519
Военная академия Генштаба ВС России;55.649423500000005;37.4728401
Военно-дипломатическая академия Генштаба ВС РФ;55.793867699999986;37.499069899999995
Военный университет Министерства обороны РФ;55.7671069;37.5956636
Военный университет Министерства обороны Российской Федерации;55.7298565;37.58448129999999
Всероссийская академия внешней торговли;55.7269455;37.5336008
Всероссийский государственный университет кинематографии имени С. А. Герасимова (ВГИК);55.83529130000001;37.638222299999995
Всероссийский государственный университет кинематографии имени С.А.Герасимова;55.83206760000001;37.6652
Всероссийский государственный университет юстиции;55.7711432;37.617024199999996
"Высшая Школа Кино и Телевидения ""Останкино""";55.73250579999999;37.682039
Высшая школа бизнеса;55.6991899;37.53633299999999
Высшая школа экономики;55.763403600000004;37.6235741
Высшая школа экономики. Факультет гуманитарных наук;55.767366900000006;37.66294890000001
Высшее театральное училище (институт) имени М. С. Щепкина;55.76034210000001;37.6212011
Высший колледж рационального природопользования;55.7790207;37.594794699999994
Государственная классическая академия им. Маймонида;55.74325000000001;37.637747
Государственный академический университет гуманитарных наук;55.732704;37.6090544
Государственный институт усовершенствования врачей МО РФ;55.800993299999995;37.715638799999994
Государственный музыкально-педагогический институт им. М. М. Ипполитова-Иванова;55.734435100000006;37.665823499999995
Государственный университет по землеустройству;55.7632025;37.663698499999995
Государственный университет просвещения;55.76297279999999;37.67554249999999
Государственный университет просвещения, ИФИ;55.7730699;37.6824894
Государственный университет управления;55.7144898;37.8146079
Гуманитарный институт;55.80119630000001;37.6463883
Дендрарий Ботанического сада МГУ;55.7065704;37.5279466
"Детский технопарк ""Смарт-парк""";55.9817372;37.2045423
Дипломатическая академия МИД;55.7676301;37.64540650000001
Дипломатическая академия МИД России;55.7356293;37.595808899999994
Евроазиатская богословская семинария;55.6470605;37.7599314
Заочный факультет МГЛУ;55.8176708;37.679525899999994
Здание экономического факультета МГУ;55.69599230000001;37.5377967
Зеленоградский филиал МГПУ;55.99609139999999;37.20607139999999
ИКСИ;55.6821137;37.4682647
ИМИСС МГУ;55.70099200000001;37.53911229999999
ИМПЭ им. Грибоедова;55.75479959999999;37.7259618
ИПМ им. М.В. Келдыша РАН;55.7762329;37.5944688
Инстититут современного права и экономики;55.81859300000001;37.7222249
Институт Махон Хамеш;55.8024825;37.6935098
Институт Психологии и Психоанализа на Чистых прудах;55.760766;37.64628989999999
Институт Энергосетьпроект;55.7862839;37.7186099
Институт бизнес права МГЮА;55.769346;37.6844031
Институт бизнеса и дизайна;55.78051;37.637528999999994
Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова;55.6468591;37.509489
Институт государственного администрирования;55.6824579;37.5344962
Институт гуманитарного образования и информационных технологий;55.79948279999999;37.80024379999999
Институт делового администрирования МГПУ;55.9941294;37.171197899999996
Институт естествозания и спортивных технологий - МГПУ;55.77992820000001;37.8211061
Институт естествознания и спортивных технологий - МГПУ;55.780592999999996;37.8232432
Институт иностранных языков МГПУ;55.7937309;37.5730482
Институт искусства реставрации;55.7922423;37.76441599999999
Институт исследования товародвижения и конъюнктуры оптового рынка;55.807404899999995;37.5409439
Институт кино и телевидения;55.775845200000006;37.541081
Институт клинической морфологии и цифровой патологии;55.7295306;37.5635411
Институт лингвистики и межкультурной коммуникации;55.777762300000006;37.684179799999995
Институт математики и информатики;55.77687709999999;37.662654499999995
Институт математики и информатики ГОУ ВПО;55.7040012;37.6199248
Институт математики и информатики ГОУ ВПО г. Москвы “Московский городской педагогический университет”;55.8041498;37.61444819999999
Институт медицинской паразитологии и тропической медицины им. Е. И. Марциновского;55.727687499999995;37.56496779999999
Институт менеджмента, экономики и инноваций;55.7614352;37.612824
Институт механики МГУ, Институт проблем информационной безопасности;55.706376299999995;37.5176957
Институт мировой экономики и информатизации;55.7028123;37.73662169999999
Институт мировых цивилизаций;55.7707352;37.66287119999999
Институт новых углеродных материалов и технологий;55.70355179999999;37.52389209999999
Институт педагогики и психологии МПГУ;55.7701143;37.6239652
Институт правовой экономики;55.8147923;37.7065196
Институт природообустройства имени А. Н. Костякова;55.8367768;37.5486797
Институт проблем механики им. А.Ю. Ишлинского РАН;55.66608309999999;37.4883014
Институт психологии РАН;55.819418000000006;37.6468738
Институт русского языка им. А. С. Пушкина;55.6532303;37.5184218
Институт системных проектов;55.681596799999994;37.5443097
Институт славянской культуры «РГУ им. А.Н. Косыгина»;55.8548896;37.677484
Институт современного искусства;55.750454399999995;37.4978415
Институт соц. менеджмента при HUCE;55.826007700000005;37.7277965
Институт специального образования;55.6806037;37.542495499999994
Институт стран Азии и Африки МГУ;55.7553086;37.611954
Институт театрального искусства им. И.Д. Кобзона;55.82889339999999;37.6006785
Институт туризма и гостеприимства;55.8501697;37.5148394
Институт управления и права;55.6817063;37.7733458
Институт финансов и устойчивого развития;55.8497735;37.58746589999999
Институт экономики бизнеса;55.7226415;37.6380475
Институт экономики и культуры;55.7876769;37.72973269999999
Институт экономики, финансов и права;55.8532474;37.6123434
Институт экономической безопасности;55.70534200000001;37.5499174
Интуит;55.7717148;37.577261799999995
Историко-архивный институт РГГУ;55.7574832;37.6222938
