Адрес,Количество квартир,Срок сдачи
"1-й Волоколамский пр-д, влд. 7, к.1",291,2026
"1-й Очаковский пер., з/у 4А",369,2027
"1-й Саратовский пр-д, з/у 5",105,2026
"11-я Парковая ул., з/у 57",841,2026
"15-я Парковая ул., влд. 42",363,2026
"2-я Владимирская ул., з/у 28/30 (подзона 1)",234,2026
"2-я Владимирская ул., з/у 28/30 (подзона 2)",270,2026
"2-я Дубровская ул., влд. 1",108,2026
"2-я Прядильная ул., влд. 9",126,2027
"2-я Синичкина ул., влд. 15A",371,2026
"2-я ул. Синичкина, влд. 9",184,2026
"2-я Фрезерная ул., з/у 6",126,2026
"3-й Нижнелихоборский пр-д, влд. 5, стр. 1",190,2026
"3-я Институтская ул., з/у 4/1",492,2026
"3-я Прядильная ул., влд. 4",235,2027
"3-я Прядильная ул., з/у 10",194,2027
"3-я Прядильная ул., з/у 13",877,2027
"3-я Прядильная ул., з/у 14",170,2027
"3-я Прядильная ул., з/у 1А",126,2027
"4-й Вешняковский пр-д, з/у 5/1",152,2027
"40 лет Октября пр-кт, з/у 18/13",355,2026
"40 лет Октября ул., з/у 12",449,2026
"5-я Кожуховская ул., влд. 33",184,2026
"7-я Кожуховская ул., влд. 8",272,2027
"7-я Парковая ул., з/у 19А/1",237,2026
"9 Мая ул., з/у 24",152,2026
"Авангардная ул., з/у 12",340,2027
"Авиамоторная ул., влд. 21/23",393,2027
"Авиационная ул., з/у 61А",368,2026
"Амурская ул. з/у 1/3/1, з/у 1А/3/2",1166,2026
"Амурская ул., влд. 1/12",1587,2028
"Амурская ул., влд. 26",538,2027
"Амурская ул., з/у 30",538,2027
"Амурская ул., з/у 46",135,2027
"Анненская ул., з/у 9",380,2027
"Артековская ул., з/у 7/6",584,2026
"Артюхиной ул., з/у 24",103,2026
"Байкальская ул., з/у 16/11",653,2026
"Байкальская ул., з/у 28/3",721,2026
"Бакинская ул., влд. 31",521,2026
"Береговой пр-д, влд. 9, к. 1",147,2026
"Бескудниковский б-р, з/у 46",513,2028
"Бескудниковский б-р, з/у 48",610,2028
"Бехтерева ул., влд. 3-5",612,2026
"Большая Очаковская ул., з/у 45А",485,2026
"Большая Черемушкинская ул., влд. 25Б",452,2026
"Большая Черемушкинская ул., влд. 26/2",152,2026
"Буденного пр-кт, з/у 49А",253,2027
"Бутлерова ул., з/у 34/2",560,2026
"Вавилова ул., з/у 76",266,2026
"Варшавское ш., влд. 8А-10А",509,2026
"Варшавское ш., з/у 90/1",288,2026
"Веерная ул., влд. 28А",552,2026
"Велозаводская ул., влд. 2",176,2026
"Винокурова ул., з/у 22/1",758,2027
"Волгоградский пр-кт, з/у 138/14/4",184,2026
"Волгоградский пр-кт, з/у 140/2",168,2026
"Волоколамское ш., з/у 106",480,2026
"Восточная ул., з/у 1",255,2026
"Всеволода Вишневского ул., з/у 11",176,2026
"Гаврикова ул., влд. 3",176,2027
"Газопровод ул., з/у 7",144,2026
"Гарибальди ул., з/у 22",669,2026
"Генерала Рычагова ул., з/у 14/2",222,2026
"Годовикова ул., влд. 7",220,2027
"Годовикова ул., з/у 12",168,2027
"Госпитальный Вал ул., влд. 3",262,2026
"Госпитальный Вал, влд. 5, к. 10",191,2026
"Грайвороново, кв-л 90А, к. 12",282,2026
"Давыдковская ул., влд. 16",147,2026
"Даниловская наб., влд. 8",322,2026
Дмитровское ш. з/у 93/3/1,364,2026
"Дмитровское ш., з/у 32/1",275,2026
"Дмитровское ш., з/у 36/2",184,2026
"Дмитровское ш., з/у 89 (стр. 1)",473,2026
"Дмитровское ш., з/у 89 (стр. 2, 3)",440,2027
"Докукина ул., з/у 10/2",1316,2027
"Долгопрудная ул., з/у 6/1",182,2026
"Долгопрудная ул., з/у 8/1/1",457,2026
"Жигулевская ул., з/у 3/3/1",410,2027
Заводская ул. з/у 4,617,2028
"Загорьевская ул., з/у 2/5",185,2027
"Зарайская ул., з/у 46/1",520,2026
"Ивантеевская ул., з/у 1/3",253,2026
"Изумрудная ул., з/у 12А",161,2026
"Изумрудная ул., з/у 28А",280,2026
"Капотня, 1-й кв-л, влд. 4",533,2026
"Карельский б-р, влд. 1/24",283,2026
"Каспийская ул, з/у 24/4/1",378,2027
"Каховка ул., з/у 14/2",386,2026
"Кольская ул., з/у 7",1086,2026
"Константинова ул., з/у 2",196,2026
"Корнейчука ул., з/у 47А/1",457,2026
"Коровинское ш., з/у 2/4",703,2028
"Коровинское ш., з/у 4/6",282,2027
"Краснодарская ул., з/у 8",220,2026
"Кременчугская ул., вл. 11-17",1224,2026
